SFTYPE,OFFENSE,BEAT_NO,RACE,lat,lon,beatnumdot,Year,Month
NA,NA,1,B,38.03029665,-78.47758332,1,2019,4
NA,NA,1,B,38.03120268,-78.48208638,1,2019,4
NA,NA,1,B,38.03093222,-78.48090929,1,2019,4
NA,NA,1,B,38.02902336,-78.47614073,1,2019,4
NA,NA,1,B,38.02986573,-78.47755106,1,2019,4
NA,NA,1,B,38.02903354,-78.47636249,1,2019,8
NA,NA,1,B,38.02903393,-78.47678492,1,2020,2
NA,NA,1,B,38.03002649,-78.47923975,1,2020,1
NA,NA,1,B,38.02928992,-78.47906535,1,2020,1
NA,NA,1,B,38.03101784,-78.48184709,1,2020,1
NA,NA,1,B,38.02996078,-78.48159049,1,2019,7
NA,NA,1,B,38.03031835,-78.48079641,1,2019,7
NA,NA,1,B,38.03058648,-78.47973745,1,2019,6
NA,NA,1,B,38.03099265,-78.48166459,1,2019,6
NA,NA,1,B,38.02937488,-78.47878237,1,2019,3
NA,NA,1,B,38.03037655,-78.48289211,1,2019,3
NA,NA,1,B,38.02947435,-78.47759033,1,2019,3
NA,NA,1,B,38.03094915,-78.47980543,1,2019,3
NA,NA,1,B,38.02946629,-78.47606608,1,2020,3
NA,NA,1,B,38.0293271,-78.47885743,1,2020,3
NA,NA,1,B,38.03040117,-78.48301298,1,2019,5
NA,NA,1,B,38.03052125,-78.48236603,1,2019,5
NA,NA,1,B,38.03106529,-78.4812508,1,2019,5
NA,NA,1,B,38.03155183,-78.48213131,1,2019,10
NA,NA,1,B,38.02903222,-78.47865889,1,2019,10
NA,NA,1,B,38.03079966,-78.47933939,1,2019,9
NA,NA,1,B,38.02993143,-78.47792747,1,2019,9
NA,NA,1,B,38.02941273,-78.47947385,1,2019,9
NA,NA,1,W,38.02966162,-78.48067785,1,2019,4
NA,NA,1,W,38.03071644,-78.47869229,1,2019,8
NA,NA,1,W,38.0303426,-78.47995269,1,2019,12
NA,NA,1,W,38.03145748,-78.4818206,1,2019,12
NA,NA,1,W,38.02926713,-78.47809871,1,2019,2
NA,NA,1,W,38.02986101,-78.47716258,1,2020,2
NA,NA,1,W,38.02970975,-78.47937936,1,2020,2
NA,NA,1,W,38.02964607,-78.47633195,1,2020,1
NA,NA,1,W,38.02963495,-78.47804141,1,2020,1
NA,NA,1,W,38.02894013,-78.4784442,1,2019,7
NA,NA,1,W,38.03008297,-78.47918564,1,2019,6
NA,NA,1,W,38.03007688,-78.47997034,1,2019,6
NA,NA,1,W,38.03050343,-78.48074719,1,2019,6
NA,NA,1,W,38.02984301,-78.48129546,1,2019,6
NA,NA,1,W,38.03082958,-78.48114303,1,2019,6
NA,NA,1,W,38.03119428,-78.48137378,1,2019,3
NA,NA,1,W,38.03054254,-78.48224469,1,2020,3
NA,NA,1,W,38.03061882,-78.48357527,1,2019,5
NA,NA,1,W,38.02912717,-78.47736992,1,2019,5
NA,NA,1,W,38.02902692,-78.47727878,1,2019,11
NA,NA,1,W,38.02921479,-78.47893634,1,2019,11
NA,NA,1,W,38.03040313,-78.48103999,1,2019,10
NA,NA,1,W,38.0299364,-78.4811036,1,2019,10
NA,NA,2,B,38.03284055,-78.48076536,2,2020,4
NA,NA,2,B,38.03004438,-78.48488101,2,2019,8
NA,NA,2,B,38.03049258,-78.48541914,2,2019,12
NA,NA,2,B,38.02909633,-78.48092727,2,2020,2
NA,NA,2,B,38.03035367,-78.47733881,2,2020,1
NA,NA,2,B,38.0302641,-78.47561074,2,2019,7
NA,NA,2,B,38.03093168,-78.4772893,2,2019,7
NA,NA,2,B,38.03257753,-78.47989422,2,2019,6
NA,NA,2,B,38.02998676,-78.47595057,2,2019,6
NA,NA,2,B,38.03120963,-78.47989958,2,2019,5
NA,NA,2,B,38.02922,-78.47962441,2,2019,5
NA,NA,2,B,38.03201678,-78.48334649,2,2019,5
NA,NA,2,B,38.02942204,-78.48216149,2,2019,5
NA,NA,2,B,38.03028273,-78.48437848,2,2019,5
NA,NA,2,B,38.03034478,-78.48335248,2,2019,5
NA,NA,2,B,38.03205612,-78.47991331,2,2019,5
NA,NA,2,B,38.03299482,-78.4824931,2,2019,10
NA,NA,2,B,38.03072979,-78.47545389,2,2019,10
NA,NA,2,B,38.03197159,-78.48375326,2,2019,10
NA,NA,2,B,38.03314208,-78.48548896,2,2019,10
NA,NA,2,B,38.03224963,-78.48118171,2,2019,10
NA,NA,2,B,38.02895562,-78.4803891,2,2019,10
NA,NA,2,B,38.03014496,-78.48686166,2,2019,10
NA,NA,2,W,38.03080605,-78.47657951,2,2019,4
NA,NA,2,W,38.02999833,-78.48282792,2,2019,4
NA,NA,2,W,38.03162909,-78.48016317,2,2020,4
NA,NA,2,W,38.03172526,-78.47818393,2,2020,4
NA,NA,2,W,38.03100614,-78.47776621,2,2019,8
NA,NA,2,W,38.0316275,-78.48295762,2,2019,8
NA,NA,2,W,38.03069762,-78.4747758,2,2019,8
NA,NA,2,W,38.02878299,-78.47764495,2,2019,8
NA,NA,2,W,38.03066022,-78.48419338,2,2019,12
NA,NA,2,W,38.03044261,-78.47627454,2,2019,12
NA,NA,2,W,38.02920782,-78.47932539,2,2019,12
NA,NA,2,W,38.03088039,-78.47635031,2,2019,12
NA,NA,2,W,38.0321515,-78.48540764,2,2019,12
NA,NA,2,W,38.03013788,-78.48397942,2,2020,2
NA,NA,2,W,38.03035044,-78.48436712,2,2020,2
NA,NA,2,W,38.03231818,-78.48046606,2,2020,1
NA,NA,2,W,38.03387598,-78.48412093,2,2020,1
NA,NA,2,W,38.03361512,-78.48468084,2,2020,1
NA,NA,2,W,38.03096987,-78.47917014,2,2020,1
NA,NA,2,W,38.02986632,-78.48285584,2,2019,7
NA,NA,2,W,38.02946029,-78.48078267,2,2019,7
NA,NA,2,W,38.03008322,-78.48449698,2,2019,7
NA,NA,2,W,38.02937188,-78.48184322,2,2019,6
NA,NA,2,W,38.03203422,-78.47985315,2,2019,6
NA,NA,2,W,38.03063674,-78.48503998,2,2019,6
NA,NA,2,W,38.0302565,-78.48485861,2,2019,3
NA,NA,2,W,38.03095758,-78.48555817,2,2019,10
NA,NA,2,W,38.03106075,-78.47590245,2,2019,10
NA,NA,2,W,38.03260765,-78.47979155,2,2019,9
NA,NA,3,B,38.03216981,-78.49448966,3,2019,4
NA,NA,3,B,38.032566,-78.49109536,3,2019,8
NA,NA,3,B,38.03122434,-78.49334019,3,2019,8
NA,NA,3,B,38.03177435,-78.48899624,3,2019,12
NA,NA,3,B,38.03335207,-78.49446996,3,2019,2
NA,NA,3,B,38.03402993,-78.49456334,3,2019,7
NA,NA,3,B,38.03124019,-78.49275835,3,2019,7
NA,NA,3,B,38.03142575,-78.48657972,3,2019,6
NA,NA,3,B,38.03565911,-78.49539943,3,2019,3
NA,NA,3,B,38.03163245,-78.49380086,3,2020,3
NA,NA,3,B,38.03460918,-78.49351227,3,2020,3
NA,NA,3,B,38.03294096,-78.48838479,3,2019,5
NA,NA,3,B,38.03427924,-78.49674109,3,2019,9
NA,NA,3,B,38.03403136,-78.49790462,3,2019,9
NA,NA,3,B,38.0328941,-78.48779171,3,2019,9
NA,NA,3,B,38.0316225,-78.49557675,3,2019,9
NA,NA,3,B,38.03499658,-78.4987727,3,2019,9
NA,NA,3,W,38.03181696,-78.49387113,3,2019,8
NA,NA,3,W,38.03103359,-78.49435934,3,2019,12
NA,NA,3,W,38.03238373,-78.49481786,3,2019,12
NA,NA,3,W,38.03238734,-78.4868386,3,2019,12
NA,NA,3,W,38.03196814,-78.49133123,3,2019,2
NA,NA,3,W,38.03360876,-78.49653474,3,2019,2
NA,NA,3,W,38.03163907,-78.49196865,3,2019,2
NA,NA,3,W,38.03410722,-78.49777314,3,2019,2
NA,NA,3,W,38.03263113,-78.48933842,3,2019,7
NA,NA,3,W,38.03084564,-78.48822384,3,2019,6
NA,NA,3,W,38.03303714,-78.48872025,3,2019,3
NA,NA,3,W,38.03189125,-78.49213478,3,2020,3
NA,NA,3,W,38.0324191,-78.48685182,3,2019,5
NA,NA,3,W,38.03195815,-78.48952533,3,2019,11
NA,NA,3,W,38.03224103,-78.49095466,3,2019,9
NA,NA,4,B,38.03355577,-78.491592,4,2020,4
NA,NA,4,B,38.03441088,-78.49277998,4,2020,4
NA,NA,4,B,38.0345886,-78.4925196,4,2020,4
NA,NA,4,B,38.03392421,-78.49051889,4,2020,4
NA,NA,4,B,38.0344638,-78.49248678,4,2020,4
NA,NA,4,B,38.03445268,-78.49211678,4,2020,4
NA,NA,4,B,38.03390608,-78.49185451,4,2019,7
NA,NA,4,B,38.03469885,-78.4925469,4,2019,7
NA,NA,4,B,38.03415206,-78.49066768,4,2019,7
NA,NA,4,B,38.03393174,-78.49019567,4,2020,3
NA,NA,4,B,38.03447883,-78.49255428,4,2020,3
NA,NA,4,B,38.03395673,-78.49078012,4,2020,3
NA,NA,4,B,38.03401565,-78.49136993,4,2019,5
NA,NA,4,B,38.03431626,-78.49155206,4,2019,11
NA,NA,4,B,38.03406448,-78.49071827,4,2019,10
NA,NA,4,B,38.03471806,-78.49252762,4,2019,10
NA,NA,4,B,38.03321786,-78.49097643,4,2019,10
NA,NA,4,B,38.03385724,-78.49184801,4,2019,10
NA,NA,4,W,38.03370707,-78.49202602,4,2020,2
NA,NA,4,W,38.03423834,-78.49143674,4,2019,11
NA,NA,5,B,38.03608485,-78.4929062,5,2019,4
NA,NA,5,B,38.03346872,-78.48928209,5,2019,4
NA,NA,5,B,38.03520641,-78.49043991,5,2020,4
NA,NA,5,B,38.03795417,-78.49335457,5,2019,12
NA,NA,5,B,38.03479359,-78.48679773,5,2019,12
