Date,Type,Location,Reason for Stop,Dispostion,"Search
Conducted?",Tow?,Race,Sex,Age,Ofc. Race,Ofc. Sex
1/30/2019,Traffic Stop,Slaughter Rec,Expired Registration,Warning,No,No,W,F,19,W,M
1/31/2019,Traffic Stop,Emmet St at Massie Rd,Defective Equipment,Warning,No,No,W,M,18,W,M
1/31/2019,Traffic Stop,2201 Ivy Rd,No registration displayed,Warning,No,No,A,F,36,W,M
1/31/2019,Traffic Stop,McCormick at Newcomb,Fail to obey sign,Warning,No,No,A,M,21,W,M
2/1/2019,Traffic Stop,Copeley Rd at Massie Rd,Defective Equipment,Warning,No,No,A,M,23,W,M
2/1/2019,Traffic Stop,1335 Lee St,Illegal Left Turn,Warning,No,No,A,F,22,W,M
2/1/2019,Traffic Stop,University Ave at 14th St,Expired Registration,Warning,No,No,W,F,27,W,M
2/1/2019,Traffic Stop,University at McCormick,Illegal Left Turn,Warning,No,No,W,M,41,W,M
2/1/2019,Traffic Stop,Thomson Rd at Emmet St,Defective Equipment,Warning,No,No,W,F,22,W,M
2/1/2019,Traffic Stop,675 Reservoir Rd,Fail to obey sign,Warning,No,No,A,M,63,W,M
2/2/2019,Traffic Stop,1619 University Ave,Expired Registration,Warning,No,No,W,M,61,W,M
2/2/2019,Traffic Stop,Roosevelt Brown & 9th St,Red light violaiton,Warning,No,No,B,M,55,W,M
2/2/2019,Traffic Stop,Central Gounds Garage,Fail to obey sign,Warning,No,No,B,M,34,W,M
2/2/2019,Traffic Stop,2474 Old Ivy Rd,Speeding,Warning,No,No,A,M,22,W,M
2/3/2019,Traffic Stop,2117 Ivy Rd,No helmet riding moped,Warning,No,No,W,M,20,W,M
2/3/2019,Traffic Stop,University Ave at Hospital Dr,Obstructing Traffic,Warning,No,No,B,M,45,W,M
2/3/2019,Traffic Stop,Ivy Rd,Use of red light in vehicle,Warning,No,No,O,M,41,W,M
2/3/2019,Traffic Stop,Rugby at University,Fail to obay light,Warning,No,No,W,F,35,W,M
2/4/2019,Traffic Stop,Lambeth Commons,Expired Registration,Warning,No,No,W,M,29,W,M
Date,Type,Location,Reason for Stop,Dispostion,"Search
Conducted?",Tow?,Race,Sex,Age,Ofc. Race,Ofc. Sex
2/4/2019,Traffic Stop,JPA at Kent Terr,No Headlights,Warning,No,No,A,M,22,W,M
2/5/2019,Traffic Stop,Culbreth Rd,Fail to obey sign,Warning,No,No,W,M,27,W,M
2/5/2019,Traffic Stop,Arlington Blvd at Massie Rd,Fail to obey sign,Warning,No,No,W,F,27,W,M
2/5/2019,Traffic Stop,Ivy Rd,No tags/lights on trailer,Warning,No,No,W,M,35,W,M
2/5/2019,Traffic Stop,Alderman Rd,Expired Registration,Warning,No,No,W,M,64,B,M
2/5/2019,Traffic Stop,Alderman Rd,No Headlights,Warning,No,No,B,F,40,W,M
2/6/2019,Traffic Stop,Ern Commons,No registration displayed,Warning,No,No,W,M,19,W,M
2/6/2019,Traffic Stop,Massie Rd at Nash,Failure to yield,Warning,No,No,W,M,36,W,F
2/7/2019,Traffic Stop,Emmet St at University,No Headlights,Warning,No,No,W,F,25,W,M
2/7/2019,Traffic Stop,Emmet St at Arlington,Expired Registration,Warning,No,No,W,M,27,W,M
2/7/2019,Traffic Stop,14th St at W. Main,Fail to obey light,Warning,No,No,O,M,21,W,M
2/7/2019,Traffic Stop,100 Elliewood Rd,Drive wrong way-one way,Warning,No,No,W,F,22,W,M
2/7/2019,Traffic Stop,W. Main St,Failure to maintain lane,Warning,No,No,W,M,50,W,M
2/7/2019,Traffic Stop,Ivy Rd at Rothery,Fail to obey ligjht,Warning,No,No,H,M,62,W,M
2/8/2019,Traffic Stop,235 McCormick Rd,Illegal Left Turn,Warning,No,No,W,M,19,W,M
2/8/2019,Traffic Stop,Rugby at Gordon Ave,Fail to obey sign,Warning,No,No,W,M,56,W,M
2/8/2019,Traffic Stop,Grady at 15th St NW,Fail to maintain lane,Warning,No,No,B,M,54,W,M
2/8/2019,Traffic Stop,210 Emmet St,Unlawful turn on red,Warning,No,No,W,M,29,W,M
2/8/2019,Traffic Stop,200 14th St NW,Illegal U-Turn,Warning,No,No,W,M,30,W,M
2/8/2019,Traffic Stop,2100 Ivy Rd,Fail to obey light,Warning,No,No,I,M,16,W,F
2/8/2019,Traffic Stop,Leonard Sandridge Rd,Speeding,Warning,No,No,W,F,40,B,M
2/9/2019,Traffic Stop,Minor Court at University Ave,Wrong way on one way,Warning,No,No,W,M,34,W,M
2/9/2019,Traffic Stop,Massie at Copeley,Fail to obey light,Warning,No,No,I,M,38,W,M
2/9/2019,Traffic Stop,University Ave at Hospital Dr,Fail to obey light,Warning,No,No,W,F,19,W,M
2/9/2019,Traffic Stop,200 Rugby Rd,Improper Display,Warning,No,No,W,M,19,W,M
2/9/2019,Traffic Stop,West Complex,Fail to obey sign,Warning,No,No,W,M,31,W,M
2/9/2019,Traffic Stop,15th St NW at Sadler,Drive wrong way-one way,Warning,No,No,B,M,21,W,M
2/9/2019,Traffic Stop,Copeley Rd,Right turn using bike lane,Warning,No,No,W,F,79,B,M
2/10/2019,Traffic Stop,Chancellor at Madison,Wrong way on one way,Warning,No,No,W,F,46,W,M
2/10/2019,Traffic Stop,Cemetery Rd,Helmet violation,Warning,No,No,W,M,20,W,M
2/10/2019,Traffic Stop,Alderman Rd at Pratt Dr,No Headlights,Warning,No,No,W,F,68,W,M
2/10/2019,Traffic Stop,Alderman Rd,Speeding,Warning,No,No,unk,unk,unk,W,M
2/10/2019,Traffic Stop,W. Main St,No Headlights,Warning,No,No,W,F,20,W,M
2/10/2019,Traffic Stop,University at McCormick,Fail to obey sign,Warning,No,No,W,F,22,W,M
2/10/2019,Traffic Stop,University at McCormick,Fail to obey sign,Warning,No,No,B,M,63,W,M
2/11/2019,Traffic Stop,130 Culbreth Rd,Fail to obay sign,Warning,No,No,W,M,20,W,M
2/12/2019,Traffic Stop,2171 Ivy Rd,No Headlights,Warning,No,No,W,M,20,W,M
2/12/2019,Traffic Stop,530 McCormick Rd,Passing on double yellow,Warning,No,No,W,M,22,W,M
2/13/2019,Traffic Stop,160 McCormick Rd,Improper Stopping,Warning,No,No,B,M,32,B,M
Date,Type,Location,Reason for Stop,Dispostion,"Search
Conducted?",Tow?,Race,Sex,Age,Ofc. Race,Ofc. Sex
2/13/2019,Traffic Stop,235 McCormick Rd,Speeding,Warning,No,No,W,M,19,W,M
2/14/2019,Traffic Stop,University Ave,Avoiding traffic control,Warning,No,No,B,F,38,W,M
2/15/2019,Traffic Stop,160 McCormick Rd,Headlight Out,Warning,No,No,W,F,21,W,M
2/15/2019,Traffic Stop,University Ave,No Headlights,Warning,No,No,W,M,18,W,M
2/16/2019,Traffic Stop,400 Emmet St N,No Headlights,Warning,No,No,W,M,19,W,M
2/17/2019,Traffic Stop,Massie Rd at Farrish Cir,Speeding,Warning,No,No,W,F,19,W,M
2/17/2019,Traffic Stop,1159 Emmet St N,Speeding,Warning,No,No,W,M,67,W,M
2/17/2019,Traffic Stop,Barracks Rd at Millmont,Fail to obey light,Warning,No,No,B,F,26,W,M
2/17/2019,Traffic Stop,University at McCormick,Fail to obey sign,Warning,No,No,W,M,27,W,M
2/18/2019,Traffic Stop,2200 Block Ivy Rd,Expired Registration-valid,Apology,No,No,NA,NA,NA,W,M
2/20/2019,Traffic Stop,McCormick at Monroe Hill,Headlight Out,Warning,No,No,W,M,20,B,M
2/20/2019,Traffic Stop,190 McCormick Rd,No Headlights,Warning,No,No,W,M,25,W,M
2/20/2019,Traffic Stop,1827 University Ave,Improper Stopping,Warning,No,No,B,M,38,W,M
2/21/2019,Traffic Stop,795 Alderman Rd,Improper Stopping,Warning,No,No,B,F,21,W,M
2/21/2019,Traffic Stop,Emmet St at Thompson Rd,Headlight Out,Warning,No,No,W,F,35,B,M
2/21/2019,Traffic Stop,McCormick at Hancock,Headlight Out,Warning,No,No,W,M,52,B,M
2/22/2019,Traffic Stop,735 Alderman Rd,Expired Registration,Warning,No,No,W,F,52,W,M
2/22/2019,Traffic Stop,2171 Ivy Rd,Weaving in lane,Warning,No,No,B,M,63,B,M
2/22/2019,Traffic Stop,Emmet St at Sprigg Ln,Driving left of double yellow,Warning,No,No,W,F,52,W,M
2/22/2019,Traffic Stop,Ivy Rd at Copeley,Expired Registration,Warning,No,No,W,M,20,W,M
2/23/2019,Traffic Stop,10th St NW at Page,No Headlights,Warning,No,No,H,M,19,B,M
2/24/2019,Traffic Stop,14th St at University Ave,No Headlights,Warning,No,No,W,F,46,W,M
2/24/2019,Traffic Stop,JPA at Ruppel Dr,Red light violaiton,Warning,No,No,W,F,49,B,M
2/25/2019,Traffic Stop,Alderman Rd at McCormick,No Headlights,Warning,No,No,W,M,21,W,M
2/26/2019,Traffic Stop,2121 Ivy Rd,No Headlights,Warning,No,No,W,F,30,W,M
2/26/2019,Traffic Stop,JPA at Ruppel Dr,Passing on right-motorcycle,Warning,No,No,W,M,35,W,M
2/27/2019,Traffic Stop,Alderman Rd,Improper Stopping,Warning,No,No,B,M,22,W,M
2/27/2019,Traffic Stop,Alderman Rd,Defective Equipment,Warning,No,No,A,F,22,W,M
2/27/2019,Traffic Stop,Alderman Rd,No Headlights,Warning,No,No,A,M,32,W,M
2/27/2019,Traffic Stop,McCormick Rd at Clark Hall,No Headlights,Warning,No,No,B,F,19,W,M
2/27/2019,Traffic Stop,2121 Ivy Rd,Crossing on double yelllow,Warning,No,No,W,M,75,W,M
2/28/2019,Traffic Stop,JPA at Lee St,No Headlights,Warning,No,No,W,M,18,W,M
2/28/2019,Traffic Stop,W. Main St at 11th St,No right turn on red,Warning,No,No,W,M,53,W,M
2/28/2019,Traffic Stop,McCormick at Garrett Alley,Illegal Left Turn,Warning,No,No,W,M,19,W,M
2/28/2019,Traffic Stop,Culbreth Rd at University,Defective Equipment,Warning,No,No,W,M,22,W,M
3/1/2019,Traffic Stop,Alderman Rd,No Headlights,Warning,No,No,W,M,19,B,M
3/1/2019,Traffic Stop,2101 Arlington Blvd,Fail to obey sign,Warning,No,No,A,M,22,W,M
3/2/2019,Traffic Stop,JPA at Lane Rd,No Headlights,Warning,No,No,A,F,21,W,M
3/2/2019,Traffic Stop,University Ave,No Headlights,Warning,No,No,H,M,43,W,M
Date,Type,Location,Reason for Stop,Dispostion,"Search
Conducted?",Tow?,Race,Sex,Age,Ofc. Race,Ofc. Sex
3/2/2019,Traffic Stop,400 Emmet St S,Registration Violation,Warning,No,No,W,F,20,W,M
3/3/2019,Traffic Stop,Alderman Rd at Floyd,No Headlights,Warning,No,No,B,F,38,W,M
3/4/2019,Traffic Stop,McCormick Rd at Hancock,Improper Stopping,Warning,No,No,B,F,21,W,M
3/4/2019,Traffic Stop,1001 W Main St,Illegal right turn on red,Warning,No,No,A,F,20,W,M
3/4/2019,Traffic Stop,Emmet St at Thompson,Passing on double yellow,Warning,No,No,W,M,59,W,M
3/5/2019,Traffic Stop,210 Emmet St,Expired Registration,Warning,No,No,W,M,45,W,M
3/5/2019,Traffic Stop,Ivy Rd,Fail to obey light,Warning,No,No,W,M,56,W,M
3/5/2019,Traffic Stop,University Ave,Fail to obey sign,Warning,No,No,W,M,64,W,M
3/6/2019,Traffic Stop,University Ave at McCormick,Fail to obey sign,Warning,No,No,W,F,19,W,M
3/7/2019,Traffic Stop,University at Emmet St,No Headlights,Warning,No,No,B,F,19,W,M
3/7/2019,Traffic Stop,Cemetery at Alderman,Defective Equipment,Warning,No,No,W,M,21,W,M
3/7/2019,Traffic Stop,McCormick Rd at University,Illegal stopping on sidewalk,Warning,No,No,W,M,91,W,M
3/7/2019,Traffic Stop,112 11th St,No Headlights,Warning,No,No,B,M,26,W,M
3/7/2019,Traffic Stop,Culbreth at University,Fail to obey sign,Warning,No,No,W,M,18,W,M
3/8/2019,Traffic Stop,Cemetery Dr,No Headlights,Warning,No,No,W,M,40,W,M
3/8/2019,Traffic Stop,McCormick Rd at University,No left where posted,Warning,No,No,W,M,23,W,M
3/8/2019,Traffic Stop,McCormick Rd,No left where posted,Warning,No,No,A,F,21,W,F
3/8/2019,Traffic Stop,McCormick Rd at Physics,No Headlights,Warning,No,No,W,M,19,W,M
3/9/2019,Traffic Stop,400 Emmet St N,No Headlights,Warning,No,No,B,M,32,W,M
3/9/2019,Traffic Stop,1540 JPA,Crossing over line,Warning,No,No,B,M,48,W,M
3/11/2019,Traffic Stop,1300 Blk of JPA,Defective Equipment,Warning,No,No,W,F,57,W,M
