lon,lat,OBJECTID,geo_MAT_Status,geo_MAT_ST_NUMBER,geo_MAT_PREDIR,geo_MAT_ST_NAME,geo_MAT_SUFFIX,geo_MAT_POSTDIR,centroid_BUILD_STREET,unit,address,geo_MAT_MasterAddressID
-78.47168902,38.02795504,8950881,,1108,E,MARKET,ST, ,E MARKET ST,A,1108 E MARKET ST #A,88590
-78.47116137,38.02751582,8950882,,1110,E,MARKET,ST, ,E MARKET ST,13H,1110 E MARKET ST #13H,88591
-78.50343001,38.03094105,8950883,,429, ,MONROE,LN, ,MONROE LN,1E,429 MONROE LN #1E,88592
-78.45748882,38.03983683,8950884,,1224, ,SMITH,ST, ,SMITH ST,A,1224 SMITH ST #A,88593
-78.45748882,38.03983683,8950885,,1224, ,SMITH,ST, ,SMITH ST,H,1224 SMITH ST #H,88594
-78.45748882,38.03983683,8950886,,1224, ,SMITH,ST, ,SMITH ST,J,1224 SMITH ST #J,88595
-78.4578649,38.03978669,8950887,,1226, ,SMITH,ST, ,SMITH ST,G,1226 SMITH ST #G,88596
-78.45760144,38.03994169,8950888,,1220, ,SMITH,ST, ,SMITH ST,B,1220 SMITH ST #B,88597
-78.47540213,38.02705365,8950889,,712, ,GRAVES,ST, ,GRAVES ST,B,712 GRAVES ST #B,88598
-78.47540213,38.02705365,8950890,,712, ,GRAVES,ST, ,GRAVES ST,A,712 GRAVES ST #A,88599
-78.47431559,38.02736185,8950891,,110, ,GOODMAN,ST, ,GOODMAN ST,A2,110 GOODMAN ST #A2,88600
-78.47390543,38.02681374,8950892,,207, ,DOUGLAS,AVE, ,DOUGLAS AVE,B,207 DOUGLAS AVE #B,88601
-78.47121517,38.02382162,8950893,,1108, ,MYRTLE,ST, ,MYRTLE ST,B,1108 MYRTLE ST #B,88602
-78.48390816,38.03866134,8950894,,703, ,CONCORD,AVE, ,CONCORD AVE,,703 CONCORD AVE,88603
-78.48528766,38.05106047,8950895,,1618, ,GREENLEAF,LN, ,GREENLEAF LN,,1618 GREENLEAF LN,88604
-78.48538614,38.05089001,8950896,,1616, ,GREENLEAF,LN, ,GREENLEAF LN,,1616 GREENLEAF LN,88605
-78.48065075,38.04435954,8950897,,1417, ,WESTWOOD,RD, ,WESTWOOD RD,,1417 WESTWOOD RD,88606
-78.48038993,38.04437255,8950898,,1415, ,WESTWOOD,RD, ,WESTWOOD RD,,1415 WESTWOOD RD,88607
-78.48250996,38.04406929,8950899,,1438, ,WESTWOOD,RD, ,WESTWOOD RD,,1438 WESTWOOD RD,88608
-78.48223448,38.04406147,8950900,,1434, ,WESTWOOD,RD, ,WESTWOOD RD,,1434 WESTWOOD RD,88609
-78.48280724,38.0502131,8950901,,1608, ,ROSE HILL,DR, ,ROSE HILL DR,,1608 ROSE HILL DR,88610
-78.48279859,38.05003539,8950902,,1606, ,ROSE HILL,DR, ,ROSE HILL DR,,1606 ROSE HILL DR,88611
-78.50502005,38.04875437,8950903,,1929, ,ARLINGTON,BLVD, ,ARLINGTON BLVD,,1929 ARLINGTON BLVD,88612
-78.49755158,38.02155902,8950904,,800, ,ORANGEDALE,AVE, ,ORANGEDALE AVE,,800 ORANGEDALE AVE,88613
-78.49667773,38.01944182,8950905,,966, ,ROCK CREEK,RD, ,ROCK CREEK RD,,966 ROCK CREEK RD,88614
-78.48237376,38.03387259,8950906,,402, ,ALTAMONT,ST, ,ALTAMONT ST,,402 ALTAMONT ST,88669
-78.47764411,38.03065502,8950907,,503,E,MARKET,ST, ,E MARKET ST,,503 E MARKET ST,88670
-78.47490305,38.03473027,8950908,,603, ,FARISH,ST, ,FARISH ST,,603 FARISH ST,88671
-78.47474687,38.02962151,8950909,,909,E,MARKET,ST, ,E MARKET ST,,909 E MARKET ST,88672
-78.46763573,38.03341111,8950910,,1201, ,POPLAR,ST, ,POPLAR ST,B,1201 POPLAR ST #B,88673
-78.49629002,38.03485049,8950911,,1203, ,WERTLAND,ST, ,WERTLAND ST,13,1203 WERTLAND ST #13,88674
-78.49629002,38.03485049,8950912,,1203, ,WERTLAND,ST, ,WERTLAND ST,14,1203 WERTLAND ST #14,88675
-78.4778553,38.04136099,8950913,,1717, ,ALLIED,LN, ,ALLIED LN,C,1717 ALLIED LN #C,88676
-78.47306114,38.01419019,8950914,,1305, ,MOUNTAIN VIEW,ST, ,MOUNTAIN VIEW ST,,1305 MOUNTAIN VIEW ST,88677
-78.49941208,38.02194139,8950915,,716, ,ROCK CREEK,RD, ,ROCK CREEK RD,,716 ROCK CREEK RD,88678
-78.48203835,38.03168815,8950916,,200,W,MARKET,ST, ,W MARKET ST,,200 W MARKET ST,88679
-78.49124796,38.04355075,8950917,,121, ,AMHERST,CMN, ,AMHERST CMN,,121 AMHERST CMN,88680
-78.49120545,38.04346048,8950918,,119, ,AMHERST,CMN, ,AMHERST CMN,,119 AMHERST CMN,88681
-78.47856885,38.05824734,8950919,,1607, ,KENWOOD,LN, ,KENWOOD LN,,1607 KENWOOD LN,88682
-78.47737994,38.05818724,8950920,,1707, ,YORKTOWN,DR, ,YORKTOWN DR,,1707 YORKTOWN DR,88683
-78.47316374,38.0582948,8950921,,1416, ,LESTER,DR, ,LESTER DR,,1416 LESTER DR,88684
-78.47404924,38.05809492,8950922,,1421, ,LESTER,DR, ,LESTER DR,,1421 LESTER DR,88685
-78.47338397,38.05814027,8950923,,1418, ,LESTER,DR, ,LESTER DR,,1418 LESTER DR,88686
-78.47497042,38.05789819,8950924,,104, ,HOLLY,CT, ,HOLLY CT,,104 HOLLY CT,88687
-78.47803069,38.05746624,8950925,,1701, ,YORKTOWN,DR, ,YORKTOWN DR,,1701 YORKTOWN DR,88688
-78.48084998,38.05721957,8950926,,103, ,WARREN,LN, ,WARREN LN,,103 WARREN LN,88689
-78.47378746,38.05722448,8950927,,1406, ,HOLLY,RD, ,HOLLY RD,,1406 HOLLY RD,88690
-78.48128959,38.05721374,8950928,,100, ,WARREN,LN, ,WARREN LN,,100 WARREN LN,88691
-78.47635072,38.05701363,8950929,,1709, ,CONCORD,DR, ,CONCORD DR,,1709 CONCORD DR,88692
-78.47657139,38.05678802,8950930,,1705, ,CONCORD,DR, ,CONCORD DR,,1705 CONCORD DR,88693
-78.47340885,38.05684917,8950931,,1402, ,HOLLY,RD, ,HOLLY RD,,1402 HOLLY RD,88694
-78.49748723,38.05913328,8950932,,2208, ,WAYNE,AVE, ,WAYNE AVE,,2208 WAYNE AVE,88696
-78.48861912,38.06319331,8950933,,198, ,ZAN,RD, ,ZAN RD,,198 ZAN RD,88697
-78.49952906,38.05864285,8950934,,2224, ,WAYNE,AVE, ,WAYNE AVE,,2224 WAYNE AVE,88698
-78.49193521,38.05805806,8950935,,2006, ,HOLIDAY,DR, ,HOLIDAY DR,,2006 HOLIDAY DR,88699
-78.4856487,38.05835861,8950936,,1614, ,BRANDYWINE,DR, ,BRANDYWINE DR,,1614 BRANDYWINE DR,88700
-78.45848833,38.03925714,8950937,,1222, ,COLEMAN,CT, ,COLEMAN CT,B,1222 COLEMAN CT #B,88701
-78.45834782,38.03910609,8950938,,1220, ,COLEMAN,CT, ,COLEMAN CT,A,1220 COLEMAN CT #A,88702
-78.49893036,38.03569789,8950939,,219, ,14TH,ST,NW,14TH ST NW,5,219 14TH ST NW #5,88703
-78.49893036,38.03569789,8950940,,219, ,14TH,ST,NW,14TH ST NW,1,219 14TH ST NW #1,88704
-78.49925664,38.03525061,8950941,,207, ,14TH,ST,NW,14TH ST NW,16,207 14TH ST NW #16,88705
-78.49925664,38.03525061,8950942,,207, ,14TH,ST,NW,14TH ST NW,17,207 14TH ST NW #17,88706
-78.49925664,38.03525061,8950943,,207, ,14TH,ST,NW,14TH ST NW,4,207 14TH ST NW #4,88707
-78.49925664,38.03525061,8950944,,207, ,14TH,ST,NW,14TH ST NW,5,207 14TH ST NW #5,88708
-78.49925664,38.03525061,8950945,,207, ,14TH,ST,NW,14TH ST NW,6,207 14TH ST NW #6,88709
-78.50126962,38.0421222,8950946,,10, ,UNIVERSITY,CIR, ,UNIVERSITY CIR,5,10 UNIVERSITY CIR #5,88710
-78.4699652,38.01458509,8950947,,1000, ,LINDEN,AVE, ,LINDEN AVE,312,1000 LINDEN AVE #312,88711
-78.51342,38.02617963,8950948,,2100, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,8,2100 JEFFERSON PARK AVE #8,88712
-78.51342,38.02617963,8950949,,2100, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,1,2100 JEFFERSON PARK AVE #1,88713
-78.47485556,38.05831604,8950950,,110, ,HOLLY,CT, ,HOLLY CT,,110 HOLLY CT,88768
-78.47473569,38.05779973,8950951,,102, ,HOLLY,CT, ,HOLLY CT,,102 HOLLY CT,88769
-78.47540965,38.05722716,8950952,,1719, ,CONCORD,DR, ,CONCORD DR,,1719 CONCORD DR,88770
-78.47803386,38.05685393,8950953,,1632, ,YORKTOWN,DR, ,YORKTOWN DR,,1632 YORKTOWN DR,88771
-78.48611011,38.05866274,8950954,,1605, ,BRANDYWINE,DR, ,BRANDYWINE DR,,1605 BRANDYWINE DR,88772
-78.51248831,38.01422437,8950955,,205, ,AZALEA,DR, ,AZALEA DR,B,205 AZALEA DR #B,88773
-78.45834782,38.03910609,8950956,,1220, ,COLEMAN,CT, ,COLEMAN CT,B,1220 COLEMAN CT #B,88774
-78.49925664,38.03525061,8950957,,207, ,14TH,ST,NW,14TH ST NW,18,207 14TH ST NW #18,88775
-78.51342,38.02617963,8950958,,2100, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,3,2100 JEFFERSON PARK AVE #3,88776
-78.48755272,38.0576225,8950959,,100, ,BRANDYWINE,CT, ,BRANDYWINE CT,,100 BRANDYWINE CT,88777
-78.47343608,38.05639785,8950960,,1705, ,GALLOWAY,DR, ,GALLOWAY DR,,1705 GALLOWAY DR,88778
-78.47521155,38.05600714,8950961,,1435, ,KENWOOD,LN, ,KENWOOD LN,,1435 KENWOOD LN,88779
-78.47760667,38.05580428,8950962,,1621, ,CONCORD,DR, ,CONCORD DR,,1621 CONCORD DR,88780
-78.49518015,38.02606217,8950963,,612, ,9TH,ST,SW,9TH ST SW,,612 9TH ST SW,88781
-78.49831135,38.02888387,8950964,,1010, ,KING,ST, ,KING ST,,1010 KING ST,88782
-78.50872874,38.02837603,8950965,,1800, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,402,1800 JEFFERSON PARK AVE #402,88783
-78.48892132,38.02021989,8950966,,208, ,HARTMANS MILL,RD, ,HARTMANS MILL RD,,208 HARTMANS MILL RD,88784
-78.48595833,38.01947225,8950967,,506, ,ROCKLAND,AVE, ,ROCKLAND AVE,,506 ROCKLAND AVE,88785
-78.48858528,38.01845183,8950968,,102, ,HARTMANS MILL,RD, ,HARTMANS MILL RD,,102 HARTMANS MILL RD,88786
-78.46366227,38.03052287,8950969,,513, ,CAROLINE,AVE, ,CAROLINE AVE,,513 CAROLINE AVE,88787
-78.47194366,38.0389094,8950970,,700, ,LYONS,AVE, ,LYONS AVE,,700 LYONS AVE,88788
-78.47670347,38.03797698,8950971,,903, ,2ND,ST,NE,2ND ST NE,,903 2ND ST NE,88789
-78.49181776,38.02165176,8950972,,814, ,RIDGE,ST, ,RIDGE ST,,814 RIDGE ST,88790
-78.50555487,38.01894294,8950973,,705, ,HIGHLAND,AVE, ,HIGHLAND AVE,,705 HIGHLAND AVE,88791
-78.48494987,38.04181527,8950974,,104, ,TRIPPER,CT, ,TRIPPER CT,,104 TRIPPER CT,88792
-78.49480486,38.03977305,8950975,,1209, ,GRADY,AVE, ,GRADY AVE,,1209 GRADY AVE,88793
-78.49560726,38.04189191,8950976,,767, ,MADISON,AVE, ,MADISON AVE,,767 MADISON AVE,88794
-78.49504661,38.03309985,8950977,,110, ,10 1/2,ST,NW,10 1/2 ST NW,,110 10 1/2 ST NW,88795
-78.46956516,38.03254851,8950978,,521, ,GROVE,AVE, ,GROVE AVE,,521 GROVE AVE,88796
-78.51249911,38.02970172,8950979,,1814, ,STADIUM,RD, ,STADIUM RD,A,1814 STADIUM RD #A,87357
-78.5073734,38.05046356,8950980,,2401, ,ARLINGTON,BLVD, ,ARLINGTON BLVD,14,2401 ARLINGTON BLVD #14,87358
-78.49387072,38.0414261,8950981,,728, ,MADISON,AVE, ,MADISON AVE,C,728 MADISON AVE #C,87359
-78.50970161,38.02991619,8950982,,204, ,MONTEBELLO,CIR, ,MONTEBELLO CIR,1,204 MONTEBELLO CIR #1,87360
-78.51025065,38.02953473,8950983,,300, ,MONTEBELLO,CIR, ,MONTEBELLO CIR,1,300 MONTEBELLO CIR #1,87361
-78.4967715,38.02871059,8950984,,923, ,CHERRY,AVE, ,CHERRY AVE,B,923 CHERRY AVE #B,87362
-78.4967715,38.02871059,8950985,,923, ,CHERRY,AVE, ,CHERRY AVE,A,923 CHERRY AVE #A,87363
-78.50896911,38.03209842,8950986,,100, ,STADIUM,RD, ,STADIUM RD,8,100 STADIUM RD #8,87364
-78.50872874,38.02837603,8950987,,1800, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,E,1800 JEFFERSON PARK AVE #E,87365
-78.51072443,38.02780413,8950988,,101, ,CARROLLTON,TER, ,CARROLLTON TER,5,101 CARROLLTON TER #5,87366
-78.51008722,38.0271614,8950989,,121, ,CARROLLTON,TER, ,CARROLLTON TER,2,121 CARROLLTON TER #2,87368
-78.5195134,38.0280123,8950990,,126, ,APPLE TREE,RD, ,APPLE TREE RD,A,126 APPLE TREE RD #A,87369
-78.51951855,38.02829944,8950991,,130, ,APPLE TREE,RD, ,APPLE TREE RD,D,130 APPLE TREE RD #D,87370
-78.51943925,38.02659934,8950992,,106, ,APPLE TREE,RD, ,APPLE TREE RD,A,106 APPLE TREE RD #A,87371
-78.51990773,38.02802367,8950993,,117, ,APPLE TREE,RD, ,APPLE TREE RD,A,117 APPLE TREE RD #A,87372
-78.46570997,38.03430147,8950994,,1213, ,HAZEL,ST, ,HAZEL ST,B,1213 HAZEL ST #B,87373
